Date,Price
2020-01-06,0.915
2020-01-13,0.9225
2020-01-20,0.9075
2020-01-27,0.895
2020-02-03,0.895
2020-02-10,0.895
2020-02-17,0.8875
2020-02-24,0.8825
2020-03-02,0.8875
2020-03-09,0.8975
2020-03-16,0.9175
2020-03-23,0.875
2020-03-30,0.775
2020-04-06,0.645
2020-04-13,0.665
2020-04-20,0.675
2020-04-27,0.7075
2020-05-04,0.7
2020-05-11,0.735
2020-05-18,0.7775
2020-05-25,0.7775
2020-06-01,0.785
2020-06-08,0.8375
2020-06-15,0.8225
2020-06-22,0.8475
2020-06-29,0.8625
2020-07-06,0.8575
2020-07-13,0.885
2020-07-20,0.8675
2020-07-27,0.88
2020-08-03,0.8625
2020-08-10,0.87
2020-08-17,0.86
2020-08-24,0.875
2020-08-31,0.8625
2020-09-07,0.8925
2020-09-14,0.8875
2020-09-21,0.9
2020-09-28,0.845
2020-10-05,0.885
2020-10-12,0.88
2020-10-19,0.8525
2020-10-26,0.875
2020-11-02,0.8675
2020-11-09,0.865
2020-11-16,0.86
2020-11-23,0.8625
2020-11-30,0.83
2020-12-07,0.835
2020-12-14,0.8325
2020-12-21,0.8325
2020-12-28,0.835
2020-12-28,0.835
2021-01-04,0.8325
2021-01-11,0.86
2021-01-18,0.865
2021-01-25,0.885
2021-02-01,0.9075
2021-02-08,0.9225
2021-02-15,0.93
2021-02-22,0.9525
2021-03-01,1.0175
2021-03-08,1.045
2021-03-15,1.02
2021-03-22,0.9775
2021-03-29,1.035
2021-04-05,1.0175
2021-04-12,1.0075
2021-04-19,1.02
2021-04-26,0.975
2021-05-03,0.9875
2021-05-10,0.9925
2021-05-17,1.0075
2021-05-24,1.02
2021-05-31,1.0175
2021-06-07,0.9975
2021-06-14,0.995
2021-06-21,0.975
2021-06-28,0.985
2021-07-05,0.97
2021-07-12,0.9775
2021-07-19,0.96
2021-07-26,0.9625
2021-08-02,0.9725
2021-08-09,0.9925
2021-08-16,0.97
2021-08-23,1.0225
2021-08-30,1.0175
2021-09-06,1.025
2021-09-13,1.085
2021-09-20,1.0325
2021-09-27,1.1375
2021-10-04,1.0725
2021-10-11,1.19
2021-10-18,1.3225
2021-10-25,1.3125
2021-11-01,1.2225
2021-11-08,1.405
